Image,Neoplastic,Inflammatory,Connective,Dead,Epithelial
0_0.png,4,2,2,0,0
0_1.png,8,1,1,0,0
0_10.png,17,0,1,0,0
0_100.png,10,0,11,0,0
0_1000.png,0,0,2,0,0
0_1001.png,0,0,7,0,0
0_1002.png,0,0,5,0,0
0_1003.png,0,0,6,0,0
0_1004.png,0,0,5,0,0
0_1005.png,0,0,5,0,0
0_1006.png,0,0,7,0,0
0_1007.png,0,0,5,0,0
0_1008.png,0,0,17,0,0
0_1009.png,0,0,12,0,0
0_101.png,10,5,10,0,0
0_1010.png,0,0,15,0,0
0_1011.png,0,0,6,0,0
0_1012.png,0,0,10,0,0
0_1013.png,0,0,1,0,0
0_1014.png,0,0,12,0,0
0_1015.png,0,0,2,0,0
0_1016.png,0,0,8,0,0
0_1017.png,0,1,9,0,0
0_1018.png,17,27,3,0,0
0_1019.png,20,35,0,0,0
0_102.png,11,0,13,0,0
0_1020.png,17,42,1,0,0
0_1021.png,26,32,7,0,0
0_1022.png,22,18,0,0,0
0_1023.png,20,33,4,0,0
0_1024.png,29,27,4,0,0
0_1025.png,10,0,0,28,0
0_1026.png,35,0,6,34,0
0_1027.png,28,0,6,34,0
0_1028.png,15,0,9,25,0
0_1029.png,35,0,6,50,0
0_103.png,0,0,8,0,15
0_1030.png,18,0,17,47,0
0_1031.png,39,0,5,25,0
0_1032.png,15,0,11,15,0
0_1033.png,0,0,0,55,0
0_1034.png,3,0,4,58,0
0_1035.png,21,5,11,46,0
0_1036.png,15,0,19,35,0
0_1037.png,33,0,23,28,0
0_1038.png,57,0,3,21,0
0_1039.png,0,0,1,48,0
0_104.png,0,0,8,0,17
0_1040.png,33,0,1,34,0
0_1041.png,0,0,0,53,0
0_1042.png,9,0,12,0,0
0_1043.png,5,0,17,0,0
0_1044.png,3,0,15,0,0
0_1045.png,22,0,5,0,0
0_1046.png,24,0,0,0,0
0_1047.png,1,1,17,0,0
0_1048.png,12,0,9,0,0
0_1049.png,24,0,1,0,0
0_105.png,0,0,7,0,24
0_1050.png,28,0,0,0,0
0_1051.png,5,0,16,0,0
0_1052.png,7,0,17,0,0
0_1053.png,0,0,8,0,0
0_1054.png,21,0,4,0,0
0_1055.png,2,0,25,0,0
0_1056.png,18,0,12,0,0
0_1057.png,30,0,1,0,0
0_1058.png,9,0,19,0,0
0_1059.png,13,0,19,0,0
0_106.png,0,0,4,0,30
0_1060.png,34,0,0,0,0
0_1061.png,0,74,104,0,0
0_1062.png,0,113,60,0,23
0_1063.png,0,193,75,0,8
0_1064.png,18,0,0,0,0
0_1065.png,11,1,4,0,0
0_1066.png,4,3,4,0,0
0_1067.png,0,0,6,0,0
0_1068.png,0,3,9,0,0
0_1069.png,0,7,16,0,0
0_107.png,0,2,9,0,19
0_1070.png,3,9,16,0,0
0_1071.png,9,2,7,0,0
0_1072.png,0,12,9,0,0
0_1073.png,0,15,12,0,0
0_1074.png,13,0,6,0,0
0_1075.png,1,5,20,0,0
0_1076.png,1,7,16,0,0
0_1077.png,0,6,17,0,0
0_1078.png,16,1,6,0,0
0_1079.png,0,6,12,0,0
0_108.png,0,0,11,0,9
0_1080.png,7,3,6,0,0
0_1081.png,17,0,4,0,0
0_1082.png,11,1,1,0,0
0_1083.png,0,4,12,0,0
0_1084.png,0,0,11,0,0
0_1085.png,14,0,2,0,0
0_1086.png,0,93,2,0,0
0_1087.png,0,63,3,0,0
0_1088.png,0,0,5,0,27
0_1089.png,0,0,2,0,34
0_109.png,0,0,13,0,13
0_1090.png,0,0,3,0,37
0_1091.png,0,0,0,0,4
0_1092.png,0,0,0,0,8
0_1093.png,0,0,0,0,14
0_1094.png,0,0,0,0,2
0_1095.png,0,2,13,0,24
0_1096.png,0,4,36,0,10
0_1097.png,0,0,5,0,0
0_1098.png,0,0,5,0,0
0_1099.png,1,0,25,0,0
0_11.png,9,0,5,0,0
0_110.png,0,0,7,0,32
0_1100.png,0,0,3,0,0
0_1101.png,0,3,5,0,0
0_1102.png,3,4,5,0,0
0_1103.png,14,2,23,0,0
0_1104.png,0,0,4,0,0
0_1105.png,0,0,9,0,0
0_1106.png,0,1,4,0,0
0_1107.png,7,0,0,0,0
0_1108.png,20,1,1,0,0
0_1109.png,0,1,4,0,0
0_111.png,0,0,5,0,29
0_1110.png,0,1,2,0,0
0_1111.png,18,3,9,0,0
0_1112.png,25,0,7,0,0
0_1113.png,19,2,2,0,0
0_1114.png,14,0,9,0,0
0_1115.png,0,0,9,0,0
0_1116.png,0,0,9,0,0
0_1117.png,0,1,7,0,0
0_1118.png,0,0,12,0,0
0_1119.png,0,0,13,0,0
0_112.png,38,0,2,0,0
0_1120.png,0,0,4,0,0
0_1121.png,0,0,8,0,0
0_1122.png,0,0,4,0,0
0_1123.png,0,0,5,0,0
0_1124.png,0,0,3,0,0
0_1125.png,0,0,12,0,0
0_1126.png,0,0,11,0,0
0_1127.png,0,0,18,0,0
0_1128.png,0,0,14,0,0
0_1129.png,0,0,16,0,0
0_113.png,28,0,2,0,0
0_1130.png,0,0,4,0,0
0_1131.png,0,0,9,0,0
0_1132.png,0,0,9,0,0
0_1133.png,21,0,9,0,0
0_1134.png,37,0,0,0,0
0_1135.png,26,0,6,0,0
0_1136.png,34,0,0,0,0
0_1137.png,32,0,2,0,0
0_1138.png,35,0,2,0,0
0_1139.png,33,0,2,0,0
0_114.png,28,0,3,0,0
0_1140.png,17,0,15,0,0
0_1141.png,28,0,2,0,0
0_1142.png,38,0,0,0,0
0_1143.png,9,0,32,0,0
0_1144.png,19,0,25,0,0
0_1145.png,29,0,10,0,0
0_1146.png,21,0,13,0,0
0_1147.png,0,0,0,0,0
0_1148.png,0,0,0,0,0
0_1149.png,0,0,0,0,0
0_115.png,26,0,7,0,0
0_1150.png,0,3,0,0,0
0_1151.png,0,5,0,0,0
0_1152.png,0,0,0,0,0
0_1153.png,0,4,0,0,0
0_1154.png,0,1,0,0,0
0_1155.png,0,0,0,0,0
0_1156.png,0,5,0,0,0
0_1157.png,0,1,1,0,0
0_1158.png,0,0,0,0,0
0_1159.png,0,2,0,0,0
0_116.png,49,1,0,0,0
0_1160.png,0,0,0,0,0
