img,type
1_0.png,Breast
1_1.png,Breast
1_2.png,Breast
1_3.png,Breast
1_4.png,Breast
1_5.png,Breast
1_6.png,Breast
1_7.png,Breast
1_8.png,Breast
1_9.png,Breast
1_10.png,Breast
1_11.png,Breast
1_12.png,Breast
1_13.png,Breast
1_14.png,Breast
1_15.png,Breast
1_16.png,Breast
1_17.png,Breast
1_18.png,Breast
1_19.png,Breast
1_20.png,Breast
1_21.png,Breast
1_22.png,Breast
1_23.png,Breast
1_24.png,Breast
1_25.png,Breast
1_26.png,Breast
1_27.png,Breast
1_28.png,Breast
1_29.png,Breast
1_30.png,Breast
1_31.png,Breast
1_32.png,Breast
1_33.png,Breast
1_34.png,Breast
1_35.png,Breast
1_36.png,Breast
1_37.png,Breast
1_38.png,Breast
1_39.png,Breast
1_40.png,Breast
1_41.png,Breast
1_42.png,Breast
1_43.png,Breast
1_44.png,Breast
1_45.png,Breast
1_46.png,Breast
1_47.png,Breast
1_48.png,Breast
1_49.png,Breast
1_50.png,Breast
1_51.png,Breast
1_52.png,Breast
1_53.png,Breast
1_54.png,Breast
1_55.png,Breast
1_56.png,Breast
1_57.png,Breast
1_58.png,Breast
1_59.png,Breast
1_60.png,Breast
1_61.png,Breast
1_62.png,Breast
1_63.png,Breast
1_64.png,Breast
1_65.png,Breast
1_66.png,Breast
1_67.png,Breast
1_68.png,Breast
1_69.png,Breast
1_70.png,Breast
1_71.png,Breast
1_72.png,Breast
1_73.png,Breast
1_74.png,Breast
1_75.png,Breast
1_76.png,Breast
1_77.png,Breast
1_78.png,Breast
1_79.png,Breast
1_80.png,Breast
1_81.png,Breast
1_82.png,Breast
1_83.png,Breast
1_84.png,Breast
1_85.png,Breast
1_86.png,Breast
1_87.png,Breast
1_88.png,Breast
1_89.png,Breast
1_90.png,Breast
1_91.png,Breast
1_92.png,Breast
1_93.png,Breast
1_94.png,Breast
1_95.png,Breast
1_96.png,Breast
1_97.png,Breast
1_98.png,Breast
1_99.png,Breast
1_100.png,Breast
1_101.png,Breast
1_102.png,Breast
1_103.png,Breast
1_104.png,Breast
1_105.png,Breast
1_106.png,Breast
1_107.png,Breast
1_108.png,Breast
1_109.png,Breast
1_110.png,Breast
1_111.png,Breast
1_112.png,Breast
1_113.png,Breast
1_114.png,Breast
1_115.png,Breast
1_116.png,Breast
1_117.png,Breast
1_118.png,Breast
1_119.png,Breast
1_120.png,Breast
1_121.png,Breast
1_122.png,Breast
1_123.png,Breast
